age,estimate,conf.low,conf.high,source,log_mean,log_sd,log_dist
0-4,0.16,0.1,0.24,MRC,-1.8325814637483102,0.2233379654573976,"(-1.83258146374831, 0.223337965457398)"
5-9,0.31,0.19,0.49,MRC,-1.171182981502945,0.2416833488821757,"(-1.17118298150295, 0.241683348882176)"
10-14,0.44,0.28,0.67,IJE,-0.8209805520698302,0.22257758716431456,"(-0.82098055206983, 0.222577587164315)"
15-19,0.43,0.29,0.64,IJE,-0.843970070294529,0.2019392345005157,"(-0.843970070294529, 0.201939234500516)"
20-24,0.75,0.52,1.1,IJE,-0.2876820724517809,0.19113530991407804,"(-0.287682072451781, 0.191135309914078)"
25-29,0.79,0.45,1.39,IJE,-0.23572233352106983,0.2877122876380395,"(-0.23572233352107, 0.28771228763804)"
